[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: pic_to_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: index in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: title in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: description in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: picurl in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: url in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: news_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: author in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined index: pic_to_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:35:34 PRC] PHP Notice:  Undefined property: MaterialNewsModel::$appDb in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 535
[31-Mar-2016 15:35:34 PRC] PHP Fatal error:  Call to a member function rollback() on a non-object in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 535
[31-Mar-2016 15:37:08 PRC] PHP Parse error:  syntax error, unexpected '[' in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 444
[31-Mar-2016 15:37:48 PRC] PHP Notice:  Undefined index: index in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 522
[31-Mar-2016 15:37:48 PRC] PHP Notice:  Undefined index: author in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 522
[31-Mar-2016 15:37:48 PRC] PHP Notice:  Undefined index: pic_to_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 522
[31-Mar-2016 15:37:48 PRC] PHP Notice:  Undefined property: MaterialNewsModel::$appDb in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 536
[31-Mar-2016 15:37:48 PRC] PHP Fatal error:  Call to a member function rollback() on a non-object in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 536
[31-Mar-2016 15:39:21 PRC] PHP Notice:  Undefined property: MaterialNewsModel::$appDb in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 537
[31-Mar-2016 15:39:21 PRC] PHP Fatal error:  Call to a member function rollback() on a non-object in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 537
[31-Mar-2016 15:44:05 PRC] PHP Notice:  Undefined property: MaterialNewsModel::$appDb in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 543
[31-Mar-2016 15:44:05 PRC] PHP Fatal error:  Call to a member function commit() on a non-object in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 543
[31-Mar-2016 15:44:50 PRC] PHP Notice:  Undefined index: material_id in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 463
[31-Mar-2016 16:33:30 PRC] PHP Notice:  Undefined variable: dir in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 9
[31-Mar-2016 16:33:30 PRC] PHP Fatal error:  Uncaught exception 'Exception' with message ' is not readable' in E:\www\yhsci\htdocs\yhsci\WebLog\log.php:16
Stack trace:
#0 E:\www\yhsci\htdocs\yhsci\WebLog\log.php(9): getFileList3(NULL)
#1 {main}
  thrown in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 16
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fopen(csdn.sql) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 32
[31-Mar-2016 16:33:42 PRC] PHP Warning:  feof() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 33
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fseek() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 34
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 35
[31-Mar-2016 16:33:42 PRC] PHP Warning:  feof() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 33
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fseek() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 34
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 35
[31-Mar-2016 16:33:42 PRC] PHP Warning:  feof() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 33
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fseek() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 34
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 35
[31-Mar-2016 16:33:42 PRC] PHP Warning:  feof() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 33
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fseek() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 34
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 35
[31-Mar-2016 16:33:42 PRC] PHP Warning:  feof() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 33
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fseek() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 34
[31-Mar-2016 16:33:42 PRC] PHP Warning:  fread() expects parameter 1 to be resource, boolean given in E:\www\yhsci\htdocs\yhsci\WebLog\log.php on line 35
